Team,Conference,Win %,Wins,Losses,Home Wins,Home Losses,Road Wins,Road Losses,Conference Wins,Conference Losses,Team Points per Game,Opponent Points per Game,Difference between Team and Opponent Points per Game
Atlanta Hawks,Eastern,0.732,60,22,35,6,25,16,38,14,102.5,97.1,5.4
Cleveland Cavaliers,Eastern,0.646,53,29,31,10,22,19,35,17,103.1,98.7,4.5
Chicago Bulls,Eastern,0.61,50,32,27,14,23,18,33,19,100.8,97.8,3
Toronto Raptors,Eastern,0.598,49,33,27,14,22,19,33,19,104,100.9,3.1
Washington Wizards,Eastern,0.561,46,36,29,12,17,24,30,22,98.5,97.8,0.7
Milwaukee Bucks,Eastern,0.5,41,41,23,18,18,23,30,22,97.8,97.4,0.4
Boston Celtics,Eastern,0.488,40,42,21,20,19,22,28,24,101.4,101.2,0.2
Brooklyn Nets,Eastern,0.463,38,44,19,22,19,22,24,28,98,100.9,-2.9
Indiana Pacers,Eastern,0.463,38,44,23,18,15,26,28,24,97.3,97,0.3
Miami Heat,Eastern,0.451,37,45,20,21,17,24,25,27,94.7,97.3,-2.6
Charlotte Hornets,Eastern,0.402,33,49,19,22,14,27,25,27,94.2,97.3,-3.2
Detroit Pistons,Eastern,0.39,32,50,18,23,14,27,23,29,98.5,99.5,-1
Orlando Magic,Eastern,0.305,25,57,13,28,12,29,15,37,95.7,101.4,-5.7
Philadelphia 76ers,Eastern,0.22,18,64,12,29,6,35,12,40,92,101,-9
New York Knicks,Eastern,0.207,17,65,10,31,7,34,11,41,91.9,101.2,-9.3
Golden State Warriors,Western,0.817,67,15,39,2,28,13,42,10,110,99.9,10.1
Houston Rockets,Western,0.683,56,26,30,11,26,15,33,19,103.9,100.5,3.4
Los Angeles Clippers,Western,0.683,56,26,30,11,26,15,37,15,106.7,100.1,6.6
Portland Trail Blazers,Western,0.622,51,31,32,9,19,22,31,21,102.8,98.6,4.2
Memphis Grizzlies,Western,0.671,55,27,31,10,24,17,35,17,98.3,95.1,3.2
San Antonio Spurs,Western,0.671,55,27,33,8,22,19,32,20,103.2,97,6.2
Dallas Mavericks,Western,0.61,50,32,27,14,23,18,29,23,105.2,102.3,2.9
New Orleans Pelicans,Western,0.549,45,37,28,13,17,24,29,23,99.4,98.6,0.8
Oklahoma City Thunder,Western,0.549,45,37,29,12,16,25,25,27,104,101.8,2.2
Phoenix Suns,Western,0.476,39,43,22,19,17,24,21,31,102.4,103.3,-0.9
Utah Jazz,Western,0.463,38,44,21,20,17,24,23,29,95.1,94.9,0.2
Denver Nuggets,Western,0.366,30,52,19,22,11,30,19,33,101.5,105,-3.5
Sacramento Kings,Western,0.354,29,53,18,23,11,30,18,34,101.3,105,-3.7
Los Angeles Lakers,Western,0.256,21,61,12,29,9,32,9,43,98.5,105.3,-6.8
Minnesota Timberwolves,Western,0.195,16,66,9,32,7,34,7,45,97.8,106.5,-8.8
